,time,t2m
15858,2017-11-08,15.533356
15859,2017-11-08,18.08731
15860,2017-11-09,15.92569
15861,2017-11-09,15.111725
15862,2017-11-09,17.799957
15863,2017-11-09,24.84439
15864,2017-11-10,17.464508
15865,2017-11-10,16.458649
15866,2017-11-10,17.52066
15867,2017-11-10,15.900787
15868,2017-11-11,13.738678
15869,2017-11-11,9.514801
15870,2017-11-11,14.561676
15871,2017-11-11,21.243073
15872,2017-11-12,14.98233
15873,2017-11-12,11.250641
15874,2017-11-12,16.97818
15875,2017-11-12,22.515045
15876,2017-11-13,14.404938
15877,2017-11-13,10.05191
15878,2017-11-13,18.900787
15879,2017-11-13,26.183502
15880,2017-11-14,17.432526
15881,2017-11-14,13.784088
15882,2017-11-14,19.85147
15883,2017-11-14,27.007477
15884,2017-11-15,19.557037
15885,2017-11-15,14.440094
15886,2017-11-15,20.663239
15887,2017-11-15,28.399567
15888,2017-11-16,21.282867
15889,2017-11-16,18.145905
15890,2017-11-16,24.9357
15891,2017-11-16,26.104889
15892,2017-11-17,17.51773
15893,2017-11-17,15.433502
15894,2017-11-17,16.8461
15895,2017-11-17,22.732819
15896,2017-11-18,17.062408
15897,2017-11-18,16.74649
15898,2017-11-18,16.679596
15899,2017-11-18,17.487457
15900,2017-11-19,15.185699
15901,2017-11-19,11.98941
15902,2017-11-19,17.959625
15903,2017-11-19,23.764313
15904,2017-11-20,14.815582
15905,2017-11-20,12.818024
15906,2017-11-20,18.375885
15907,2017-11-20,25.242584
15908,2017-11-21,19.545319
15909,2017-11-21,16.577301
15910,2017-11-21,20.441315
15911,2017-11-21,19.2128
15912,2017-11-22,15.690582
15913,2017-11-22,13.604645
15914,2017-11-22,14.707428
15915,2017-11-22,19.615387
15916,2017-11-23,13.543121
15917,2017-11-23,12.525055
15918,2017-11-23,17.194244
15919,2017-11-23,23.864899
15920,2017-11-24,17.757233
15921,2017-11-24,13.589752
15922,2017-11-24,20.217194
15923,2017-11-24,26.497955
15924,2017-11-25,19.790192
15925,2017-11-25,15.45108
15926,2017-11-25,18.647614
15927,2017-11-25,18.513336
15928,2017-11-26,15.927399
15929,2017-11-26,15.627106
15930,2017-11-26,16.492828
15931,2017-11-26,21.065094
15932,2017-11-27,14.51651
15933,2017-11-27,10.469879
15934,2017-11-27,19.51529
15935,2017-11-27,25.709625
15936,2017-11-28,17.907623
15937,2017-11-28,15.806305
15938,2017-11-28,20.359283
15939,2017-11-28,25.991608
15940,2017-11-29,19.222076
15941,2017-11-29,15.61441
15942,2017-11-29,19.162018
15943,2017-11-29,25.67984
15944,2017-11-30,19.39566
15945,2017-11-30,16.825104
15946,2017-11-30,18.873932
15947,2017-11-30,21.2482
15948,2017-12-01,16.168365
15949,2017-12-01,13.939117
15950,2017-12-01,18.307037
15951,2017-12-01,23.771393
15952,2017-12-02,18.811676
15953,2017-12-02,14.797028
15954,2017-12-02,18.357574
15955,2017-12-02,26.10196
15956,2017-12-03,18.956207
15957,2017-12-03,15.023834
15958,2017-12-03,19.790436
15959,2017-12-03,24.981842
15960,2017-12-04,18.362701
15961,2017-12-04,16.36612
15962,2017-12-04,22.698639
15963,2017-12-04,24.245026
15964,2017-12-05,19.74405
15965,2017-12-05,16.643707
15966,2017-12-05,21.883698
15967,2017-12-05,27.30777
15968,2017-12-06,19.622467
15969,2017-12-06,17.792145
15970,2017-12-06,21.203033
15971,2017-12-06,22.182526
15972,2017-12-07,18.862457
15973,2017-12-07,17.63858
15974,2017-12-07,20.205475
15975,2017-12-07,21.089508
15976,2017-12-08,18.317047
15977,2017-12-08,14.5243225
15978,2017-12-08,20.043365
15979,2017-12-08,26.91153
15980,2017-12-09,19.335846
15981,2017-12-09,16.832184
15982,2017-12-09,20.942535
15983,2017-12-09,26.581696
15984,2017-12-10,18.747467
15985,2017-12-10,15.937164
15986,2017-12-10,22.186676
15987,2017-12-10,26.821686
15988,2017-12-11,19.954498
15989,2017-12-11,15.592438
15990,2017-12-11,21.00235
15991,2017-12-11,25.00357
15992,2017-12-12,17.83194
15993,2017-12-12,14.812897
15994,2017-12-12,17.70279
15995,2017-12-12,25.96524
