,time,latitude,longitude,number,step,surface,valid_time,pm2p5
203,2006-09-20 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-20 18:00:00,9.7232125e-09
204,2006-09-21 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-21 00:00:00,1.15085115e-08
205,2006-09-21 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-21 06:00:00,1.38874725e-08
206,2006-09-21 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-21 12:00:00,1.1304047e-09
207,2006-09-21 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-21 18:00:00,1.0962566e-09
208,2006-09-22 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-22 00:00:00,7.774464e-09
209,2006-09-22 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-22 06:00:00,1.1689682e-08
210,2006-09-22 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-22 12:00:00,4.0667274e-09
211,2006-09-22 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-22 18:00:00,1.1204351e-09
212,2006-09-23 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-23 00:00:00,4.2538666e-09
213,2006-09-23 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-23 06:00:00,6.472991e-09
214,2006-09-23 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-23 12:00:00,2.6144104e-08
215,2006-09-23 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-23 18:00:00,2.0827528e-08
216,2006-09-24 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-24 00:00:00,1.572576e-08
217,2006-09-24 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-24 06:00:00,9.808758e-09
218,2006-09-24 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-24 12:00:00,2.1743118e-09
219,2006-09-24 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-24 18:00:00,1.0098333e-09
220,2006-09-25 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-25 00:00:00,2.9443716e-09
221,2006-09-25 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-25 06:00:00,6.082171e-09
222,2006-09-25 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-25 12:00:00,0.0
223,2006-09-25 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-25 18:00:00,0.0
224,2006-09-26 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-26 00:00:00,3.676615e-08
225,2006-09-26 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-26 06:00:00,3.7972114e-08
226,2006-09-26 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-26 12:00:00,8.996388e-09
227,2006-09-26 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-26 18:00:00,7.683948e-09
228,2006-09-27 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-27 00:00:00,1.08394715e-08
229,2006-09-27 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-27 06:00:00,5.6768172e-09
230,2006-09-27 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-27 12:00:00,0.0
231,2006-09-27 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-27 18:00:00,2.0865705e-12
232,2006-09-28 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-28 00:00:00,7.097608e-09
233,2006-09-28 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-28 06:00:00,8.646619e-09
234,2006-09-28 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-28 12:00:00,2.2911177e-08
235,2006-09-28 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-28 18:00:00,1.2577917e-08
236,2006-09-29 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-29 00:00:00,1.5114043e-08
237,2006-09-29 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-29 06:00:00,1.6276708e-08
238,2006-09-29 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-29 12:00:00,2.3703425e-08
239,2006-09-29 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-29 18:00:00,1.4007792e-08
240,2006-09-30 00:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-30 00:00:00,7.917251e-09
241,2006-09-30 06:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-30 06:00:00,5.3328684e-09
242,2006-09-30 12:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-30 12:00:00,4.7511115e-09
243,2006-09-30 18:00:00,-26.6,-52.1,0,0 days,0.0,2006-09-30 18:00:00,6.137377e-09
